,Month,Month Code,County,County Code,Deaths,latitude,longitude,Population,
1589,"Jan., 2015",2015/01,"Maricopa County, AZ",4013,11,33.34883,-112.49123,"4,168,000",
1608,"Feb., 2015",2015/02,"Maricopa County, AZ",4013,10,33.34883,-112.49123,"4,168,000",
1620,"Mar., 2015",2015/03,"Maricopa County, AZ",4013,11,33.34883,-112.49123,"4,168,000",
1636,"Apr., 2015",2015/04,"Maricopa County, AZ",4013,23,33.34883,-112.49123,"4,168,000",
1651,"May, 2015",2015/05,"Maricopa County, AZ",4013,13,33.34883,-112.49123,"4,168,000",
1673,"Jun., 2015",2015/06,"Maricopa County, AZ",4013,12,33.34883,-112.49123,"4,168,000",
1698,"Jul., 2015",2015/07,"Maricopa County, AZ",4013,14,33.34883,-112.49123,"4,168,000",
1727,"Aug., 2015",2015/08,"Maricopa County, AZ",4013,23,33.34883,-112.49123,"4,168,000",
1750,"Sep., 2015",2015/09,"Maricopa County, AZ",4013,12,33.34883,-112.49123,"4,168,000",
1776,"Oct., 2015",2015/10,"Maricopa County, AZ",4013,12,33.34883,-112.49123,"4,168,000",
1801,"Nov., 2015",2015/11,"Maricopa County, AZ",4013,15,33.34883,-112.49123,"4,168,000",
1824,"Dec., 2015",2015/12,"Maricopa County, AZ",4013,18,33.34883,-112.49123,"4,168,000",
1845,"Jan., 2016",2016/01,"Maricopa County, AZ",4013,20,33.34883,-112.49123,"3,817,117",
1863,"Feb., 2016",2016/02,"Maricopa County, AZ",4013,17,33.34883,-112.49123,"3,817,117",
1875,"Mar., 2016",2016/03,"Maricopa County, AZ",4013,11,33.34883,-112.49123,"3,817,117",
1895,"Apr., 2016",2016/04,"Maricopa County, AZ",4013,20,33.34883,-112.49123,"3,817,117",
1914,"May, 2016",2016/05,"Maricopa County, AZ",4013,16,33.34883,-112.49123,"3,817,117",
1938,"Jun., 2016",2016/06,"Maricopa County, AZ",4013,26,33.34883,-112.49123,"3,817,117",
1964,"Jul., 2016",2016/07,"Maricopa County, AZ",4013,26,33.34883,-112.49123,"3,817,117",
1990,"Aug., 2016",2016/08,"Maricopa County, AZ",4013,28,33.34883,-112.49123,"3,817,117",
2023,"Sep., 2016",2016/09,"Maricopa County, AZ",4013,18,33.34883,-112.49123,"3,817,117",
2048,"Oct., 2016",2016/10,"Maricopa County, AZ",4013,15,33.34883,-112.49123,"3,817,117",
2071,"Nov., 2016",2016/11,"Maricopa County, AZ",4013,16,33.34883,-112.49123,"3,817,117",
