Year,Month,County,County_Code,Deaths,latitude,longitude,Population
2011,Feb,"East Baton Rouge Parish, LA",22033,11,30.5254797,-91.0899217,441371
2011,Feb,"Orleans Parish, LA",22071,16,30.0801436,-89.9319134,360840
2011,Feb,"Wayne County, MI",26163,20,42.2682408,-83.2844172,1801000
2011,Feb,"Philadelphia County, PA",42101,24,40.0114538,-75.1326504,1539000
2011,Feb,"Dallas County, TX",48113,10,32.7620405,-96.7790069,2410000
2011,Feb,"Harris County, TX",48201,20,29.8119769,-95.3741247,4181000
2011,Mar,"Jefferson County, AL",1073,11,33.5228184,-86.9164513,657779
2011,Mar,"Maricopa County, AZ",4013,13,33.34883,-112.49123,3872000
2011,Mar,"Contra Costa County, CA",6013,10,37.9034806,-121.9175345,1067000
2011,Mar,"Los Angeles County, CA",6037,29,34.3155072,-118.2096814,9897000
2011,Mar,"Miami-Dade County, FL",12086,10,25.6364246,-80.4989467,2580000
2011,Mar,"Fulton County, GA",13121,10,34.0580391,-84.2961283,950233
2011,Mar,"Cook County, IL",17031,29,41.8197385,-87.756525,5216000
2011,Mar,"Orleans Parish, LA",22071,27,30.0801436,-89.9319134,360840
2011,Mar,"Wayne County, MI",26163,24,42.2682408,-83.2844172,1801000
2011,Mar,"Jackson County, MO",29095,10,40.6531945,-106.3447246,675373
2011,Mar,"St. Louis city, MO",29510,10,38.6267938,-90.19770345,319104
2011,Mar,"Philadelphia County, PA",42101,16,40.0114538,-75.1326504,1539000
2011,Mar,"Harris County, TX",48201,24,29.8119769,-95.3741247,4181000
2011,Apr,"Maricopa County, AZ",4013,20,33.34883,-112.49123,3872000
2011,Apr,"Los Angeles County, CA",6037,38,34.3155072,-118.2096814,9897000
2011,Apr,"San Bernardino County, CA",6071,11,34.8253019,-116.0833144,2064000
2011,Apr,"San Diego County, CA",6073,11,32.9637838,-116.7706277,3142000
2011,Apr,"Miami-Dade County, FL",12086,16,25.6364246,-80.4989467,2580000
2011,Apr,"Orange County, FL",12095,10,28.495156,-81.3111658,1170000
2011,Apr,"Cook County, IL",17031,31,41.8197385,-87.756525,5216000
2011,Apr,"Jefferson Parish, LA",22051,12,29.8502657,-90.1293894,434018
2011,Apr,"Orleans Parish, LA",22071,16,30.0801436,-89.9319134,360840
2011,Apr,"Baltimore city, MD",24510,18,39.2559916,-76.634341,620792
2011,Apr,"Wayne County, MI",26163,34,42.2682408,-83.2844172,1801000
2011,Apr,"Bronx County, NY",36005,15,40.85703325,-73.83669616,1400000
