,Month,Month Code,County,County Code,Deaths,latitude,longitude
968,"Sep., 2011",2011/09,"Wayne County, MI",26163,25,42.2682408,-83.2844172
969,"Sep., 2011",2011/09,"Jackson County, MO",29095,10,40.6531945,-106.3447246
970,"Sep., 2011",2011/09,"St. Louis city, MO",29510,10,38.6267938,-90.19770345
971,"Sep., 2011",2011/09,"Essex County, NJ",34013,10,40.7913922,-74.2479444
972,"Sep., 2011",2011/09,"Bronx County, NY",36005,11,40.85703325,-73.83669616
973,"Sep., 2011",2011/09,"Kings County, NY",36047,21,40.64530975,-73.95502303
974,"Sep., 2011",2011/09,"Cuyahoga County, OH",39035,11,41.4301347,-81.6905558
975,"Sep., 2011",2011/09,"Franklin County, OH",39049,10,40.0283162,-83.0076657
976,"Sep., 2011",2011/09,"Philadelphia County, PA",42101,30,40.0114538,-75.1326504
977,"Sep., 2011",2011/09,"Shelby County, TN",47157,10,35.1782557,-89.8739775
978,"Sep., 2011",2011/09,"Harris County, TX",48201,19,29.8119769,-95.3741247
979,"Oct., 2011",2011/10,"Maricopa County, AZ",4013,14,33.34883,-112.49123
980,"Oct., 2011",2011/10,"Alameda County, CA",6001,10,37.6090291,-121.899142
981,"Oct., 2011",2011/10,"Los Angeles County, CA",6037,44,34.3155072,-118.2096814
982,"Oct., 2011",2011/10,"San Bernardino County, CA",6071,10,34.8253019,-116.0833144
983,"Oct., 2011",2011/10,"Miami-Dade County, FL",12086,10,25.6364246,-80.4989467
984,"Oct., 2011",2011/10,"Cook County, IL",17031,46,41.8197385,-87.756525
985,"Oct., 2011",2011/10,"Orleans Parish, LA",22071,13,30.0801436,-89.9319134
986,"Oct., 2011",2011/10,"Baltimore city, MD",24510,13,39.2559916,-76.634341
987,"Oct., 2011",2011/10,"Wayne County, MI",26163,22,42.2682408,-83.2844172
988,"Oct., 2011",2011/10,"Bronx County, NY",36005,10,40.85703325,-73.83669616
989,"Oct., 2011",2011/10,"Kings County, NY",36047,10,40.64530975,-73.95502303
990,"Oct., 2011",2011/10,"Philadelphia County, PA",42101,33,40.0114538,-75.1326504
991,"Oct., 2011",2011/10,"Dallas County, TX",48113,11,32.7620405,-96.7790069
992,"Oct., 2011",2011/10,"Harris County, TX",48201,19,29.8119769,-95.3741247
993,"Nov., 2011",2011/11,"Maricopa County, AZ",4013,12,33.34883,-112.49123
994,"Nov., 2011",2011/11,"Los Angeles County, CA",6037,37,34.3155072,-118.2096814
995,"Nov., 2011",2011/11,"San Joaquin County, CA",6077,11,37.9372901,-121.2773719
996,"Nov., 2011",2011/11,"Miami-Dade County, FL",12086,20,25.6364246,-80.4989467
997,"Nov., 2011",2011/11,"Cook County, IL",17031,44,41.8197385,-87.756525
998,"Nov., 2011",2011/11,"Orleans Parish, LA",22071,12,30.0801436,-89.9319134
999,"Nov., 2011",2011/11,"Prince George's County, MD",24033,10,38.803929,-76.8518695
1000,"Nov., 2011",2011/11,"Baltimore city, MD",24510,11,39.2559916,-76.634341
1001,"Nov., 2011",2011/11,"Wayne County, MI",26163,21,42.2682408,-83.2844172
1002,"Nov., 2011",2011/11,"Jackson County, MO",29095,16,40.6531945,-106.3447246
1003,"Nov., 2011",2011/11,"Philadelphia County, PA",42101,22,40.0114538,-75.1326504
1004,"Nov., 2011",2011/11,"Shelby County, TN",47157,14,35.1782557,-89.8739775
